Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_Employment,Q4_Income,Q5_Pet_Type,Q5b_Ownership_Duration,Q6_Boarding_Frequency,Q7_Boarding_Reason,Q8_Kennel,Q8_Home_Sitter,Q8_App,Q8_Vet_Clinic,Q8_Family_Friends,Q8_Never_Used,Q9_Monthly_Pet_Spend_USD,Q10_Attachment_1,Q10_Attachment_2,Q10_Attachment_3,Q10_Attachment_4,Q10_Attachment_5,Q11_Urgency,Q12_Satisfaction_1,Q12_Satisfaction_2,Q12_Satisfaction_3,Q12_Satisfaction_4,Q13_Concern_Safety,Q13_Concern_Feeding,Q13_Concern_No_Updates,Q13_Concern_Caretaker_Exp,Q13_Concern_Hygiene,Q13_Concern_Pet_Emotion,Q13_Concern_Emergency,Q13_Concern_Trust,Q14_Budget_Live_Video,Q14_Budget_Verified_Profiles,Q14_Budget_Messaging,Q14_Budget_CCTV,Q14_Budget_Custom_Care,Q14_Budget_Health_Log,Q14_Budget_Emergency_Coord,Q14_Budget_Grooming,Q15_Care_Preference,Q16_Trust_1,Q16_Trust_2,Q16_Trust_3,Q16_Trust_4,Q17_Competitive_Awareness,Q18_Switching_Threshold,Q19_PSM_TooChеap_USD,Q19_PSM_GoodValue_USD,Q19_PSM_GettingExpensive_USD,Q19_PSM_TooExpensive_USD,Q20_Payment_Model,Q21_Attitude_1,Q21_Attitude_2,Q21_Attitude_3,Q22_Norm_1,Q22_Norm_2,Q22_Norm_3,Q23_Control_1,Q23_Control_2,Q23_Control_3,Q24_Adoption_Barrier,Q25_Adoption_Intent,Cluster_Label,Is_Outlier,Derived_Attachment_Index,Derived_Concern_Index,Derived_Trust_Index,Derived_TPB_Attitude_Score,Derived_TPB_Norm_Score,Derived_TPB_Control_Score,Derived_TPB_Composite,Derived_Satisfaction_Index,Derived_PSM_WTP_Midpoint
R0001,30-39,Male,Unemployed,USD 5000-9999,Cat,4-7 years,Occasionally (2-4/yr),Medical/family emergency,1,0,0,0,1,1,188,5,3,4,4,3,No - no near-term need,3,4,3,4,3,4,3,4,3,4,4,4,0,2,3,3,5,1,0,1,No preference,3,3,2,3,Yes - aware and used,Noticeably better,22,29,42,68,Pay-per-booking,3,2,3,3,3,4,3,3,3,Limited local availability,No,Trust-Sceptical Non-Adopter,No,3.8,3.62,2.75,2.67,3.33,3.0,3.0,3.5,35.5
R0002,30-39,Female,Full-time,USD 10000-19999,Cat,1-3 years,Rarely (≤1/yr),Long working hours,0,1,1,1,0,0,488,5,5,5,4,5,Yes - confirmed,4,2,4,3,5,4,5,4,4,5,5,5,1,4,2,1,0,3,1,3,No preference,4,4,3,2,Yes - aware and used,Noticeably better,28,48,81,122,Annual membership,5,4,5,4,5,4,4,5,5,Inconsistent quality,Yes,Anxious Premium Pet Parent,No,4.8,4.62,3.25,4.67,4.33,4.67,4.56,3.25,64.5
R0003,50-59,Female,Full-time,USD 5000-9999,Other,< 1 year,Frequently (5-10/yr),Personal holiday,1,1,0,0,1,0,159,4,3,4,4,3,Maybe - possible,4,4,4,4,4,3,3,3,4,3,4,4,3,3,2,0,1,2,4,0,Home-based caretaker,4,4,4,4,Yes - aware and used,Significantly better,16,24,40,62,Freemium,3,4,3,4,2,4,3,3,4,Data privacy concern,Maybe,Budget-Sensitive Occasional User,No,3.6,3.5,4.0,3.33,3.33,3.33,3.33,4.0,32.0
R0004,22-29,Male,Self-employed,Prefer not to disclose,Cat,1-3 years,Never,Personal holiday,0,0,0,0,0,0,270,4,3,3,5,3,Yes - confirmed,2,5,4,3,4,4,3,4,3,4,5,4,3,0,3,2,2,0,3,2,Home-based caretaker,4,5,4,3,Yes - aware and used,Significantly better,30,36,59,67,Pay-per-booking,4,3,3,3,4,3,5,3,5,Data privacy concern,Maybe,Convenience-Driven Casual Owner,No,3.6,3.88,4.0,3.33,3.33,4.33,3.67,3.5,47.5
R0005,22-29,Male,Unemployed,Below USD 2000,Reptile,1-3 years,Rarely (≤1/yr),Personal holiday,1,0,0,0,1,0,170,3,3,4,3,4,Yes - confirmed,3,4,5,4,4,4,3,3,3,4,3,3,0,2,4,0,1,5,2,1,Home-based caretaker,2,4,2,3,Not aware,Significantly better,4,24,53,78,Freemium,4,3,2,3,4,3,4,3,4,No significant barrier,No,Budget-Sensitive Occasional User,No,3.4,3.38,2.75,3.0,3.33,3.67,3.33,4.0,38.5
R0006,30-39,Female,Part-time,USD 10000-19999,Cat,7+ years,Never,Personal holiday,0,1,1,0,0,0,224,3,3,2,4,4,No - no near-term need,4,2,4,4,4,4,3,4,3,3,4,4,1,6,0,0,3,0,1,4,Home-based caretaker,4,3,4,4,Heard of but not used,Significantly better,13,31,55,101,Freemium,5,5,4,4,3,4,3,4,4,Limited local availability,Maybe,Convenience-Driven Casual Owner,No,3.2,3.62,3.75,4.67,3.67,3.67,4.0,3.5,43.0
R0007,60 or above,Prefer not to say,Full-time,USD 2000-4999,Cat,1-3 years,Frequently (5-10/yr),Work travel,1,1,1,0,1,0,164,4,3,5,4,3,No - no near-term need,2,2,4,4,4,4,3,4,3,3,3,4,2,0,5,1,6,0,1,0,Home-based caretaker,3,5,4,2,Yes - aware and used,Marginally better,34,41,51,71,Freemium,4,4,4,3,3,3,4,4,4,No significant barrier,Maybe,Convenience-Driven Casual Owner,No,3.8,3.5,3.5,4.0,3.0,4.0,3.67,3.0,46.0
R0008,40-49,Male,Full-time,Below USD 2000,Dog,4-7 years,Rarely (≤1/yr),Work travel,0,0,0,0,0,0,175,4,5,4,4,3,Yes - confirmed,4,4,3,4,4,3,3,3,4,2,4,4,0,3,0,1,3,1,1,6,Professional facility,1,3,2,4,Not aware,Significantly better,19,35,52,97,Annual membership,3,4,2,3,2,2,4,3,4,Data privacy concern,Maybe,Trust-Sceptical Non-Adopter,No,4.0,3.38,2.5,3.0,2.33,3.67,3.0,3.75,43.5
R0009,30-39,Female,Full-time,USD 10000-19999,Rabbit/small mammal,7+ years,Occasionally (2-4/yr),Personal holiday,0,0,1,1,1,0,417,5,5,5,5,5,Yes - confirmed,3,1,4,3,5,5,5,5,5,4,5,5,1,1,4,0,5,0,3,1,Home-based caretaker,4,4,4,5,Not aware,Marginally better,38,54,79,102,Annual membership,4,5,5,5,5,4,4,4,5,Data privacy concern,Yes,Anxious Premium Pet Parent,No,5.0,4.88,4.25,4.67,4.67,4.33,4.56,2.75,66.5
R0010,30-39,Female,Self-employed,Prefer not to disclose,Dog,< 1 year,Rarely (≤1/yr),Personal holiday,0,0,0,1,0,0,61,4,3,3,3,4,Yes - confirmed,4,3,5,4,2,3,2,4,3,4,4,4,0,1,1,0,3,1,2,7,Home-based caretaker,4,4,3,4,Yes - aware and used,Would not switch,4,22,44,99,Corporate benefit,3,4,3,3,4,2,4,4,3,Price too high,Maybe,Budget-Sensitive Occasional User,No,3.4,3.25,3.75,3.33,3.0,3.67,3.33,4.0,33.0
